name,scientific_name,family,origin,description,care,image_url
Sauge 530,Salvia species_530,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 531,Echinocactus species_531,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 532,Aloe species_532,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 533,Ficus species_533,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 534,Bambusa species_534,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 535,Tulipa species_535,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 536,Helianthus species_536,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 537,Taraxacum species_537,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 538,Betula species_538,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 539,Fagus species_539,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 540,Phoenix species_540,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 541,Rosa species_541,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 542,Lavandula species_542,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 543,Quercus species_543,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 544,Acer species_544,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 545,Pinus species_545,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 546,Orchis species_546,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 547,Dryopteris species_547,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 548,Mentha species_548,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 549,Thymus species_549,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 550,Salvia species_550,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 551,Echinocactus species_551,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 552,Aloe species_552,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 553,Ficus species_553,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 554,Bambusa species_554,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 555,Tulipa species_555,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 556,Helianthus species_556,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 557,Taraxacum species_557,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 558,Betula species_558,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 559,Fagus species_559,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 560,Phoenix species_560,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 561,Rosa species_561,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 562,Lavandula species_562,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 563,Quercus species_563,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 564,Acer species_564,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 565,Pinus species_565,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 566,Orchis species_566,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 567,Dryopteris species_567,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 568,Mentha species_568,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 569,Thymus species_569,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 570,Salvia species_570,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 571,Echinocactus species_571,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 572,Aloe species_572,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 573,Ficus species_573,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 574,Bambusa species_574,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 575,Tulipa species_575,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 576,Helianthus species_576,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 577,Taraxacum species_577,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 578,Betula species_578,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 579,Fagus species_579,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 580,Phoenix species_580,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 581,Rosa species_581,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 582,Lavandula species_582,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 583,Quercus species_583,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 584,Acer species_584,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 585,Pinus species_585,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 586,Orchis species_586,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 587,Dryopteris species_587,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 588,Mentha species_588,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 589,Thymus species_589,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 590,Salvia species_590,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 591,Echinocactus species_591,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 592,Aloe species_592,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 593,Ficus species_593,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 594,Bambusa species_594,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 595,Tulipa species_595,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 596,Helianthus species_596,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 597,Taraxacum species_597,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 598,Betula species_598,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 599,Fagus species_599,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 600,Phoenix species_600,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 601,Rosa species_601,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 602,Lavandula species_602,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 603,Quercus species_603,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 604,Acer species_604,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 605,Pinus species_605,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 606,Orchis species_606,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 607,Dryopteris species_607,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 608,Mentha species_608,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 609,Thymus species_609,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 610,Salvia species_610,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 611,Echinocactus species_611,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 612,Aloe species_612,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 613,Ficus species_613,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 614,Bambusa species_614,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 615,Tulipa species_615,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 616,Helianthus species_616,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 617,Taraxacum species_617,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 618,Betula species_618,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 619,Fagus species_619,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 620,Phoenix species_620,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 621,Rosa species_621,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 622,Lavandula species_622,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 623,Quercus species_623,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 624,Acer species_624,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 625,Pinus species_625,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 626,Orchis species_626,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 627,Dryopteris species_627,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 628,Mentha species_628,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 629,Thymus species_629,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 630,Salvia species_630,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 631,Echinocactus species_631,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 632,Aloe species_632,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 633,Ficus species_633,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 634,Bambusa species_634,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 635,Tulipa species_635,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 636,Helianthus species_636,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 637,Taraxacum species_637,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 638,Betula species_638,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 639,Fagus species_639,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 640,Phoenix species_640,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 641,Rosa species_641,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 642,Lavandula species_642,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 643,Quercus species_643,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 644,Acer species_644,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 645,Pinus species_645,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 646,Orchis species_646,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 647,Dryopteris species_647,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 648,Mentha species_648,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 649,Thymus species_649,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 650,Salvia species_650,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 651,Echinocactus species_651,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 652,Aloe species_652,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 653,Ficus species_653,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 654,Bambusa species_654,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 655,Tulipa species_655,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 656,Helianthus species_656,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 657,Taraxacum species_657,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 658,Betula species_658,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 659,Fagus species_659,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 660,Phoenix species_660,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 661,Rosa species_661,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 662,Lavandula species_662,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 663,Quercus species_663,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 664,Acer species_664,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 665,Pinus species_665,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 666,Orchis species_666,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 667,Dryopteris species_667,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 668,Mentha species_668,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 669,Thymus species_669,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 670,Salvia species_670,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 671,Echinocactus species_671,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 672,Aloe species_672,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 673,Ficus species_673,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 674,Bambusa species_674,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 675,Tulipa species_675,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 676,Helianthus species_676,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 677,Taraxacum species_677,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 678,Betula species_678,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 679,Fagus species_679,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 680,Phoenix species_680,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 681,Rosa species_681,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 682,Lavandula species_682,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 683,Quercus species_683,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 684,Acer species_684,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 685,Pinus species_685,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 686,Orchis species_686,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 687,Dryopteris species_687,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 688,Mentha species_688,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 689,Thymus species_689,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 690,Salvia species_690,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 691,Echinocactus species_691,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 692,Aloe species_692,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 693,Ficus species_693,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 694,Bambusa species_694,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 695,Tulipa species_695,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 696,Helianthus species_696,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 697,Taraxacum species_697,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 698,Betula species_698,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 699,Fagus species_699,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 700,Phoenix species_700,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 701,Rosa species_701,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 702,Lavandula species_702,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 703,Quercus species_703,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 704,Acer species_704,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 705,Pinus species_705,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 706,Orchis species_706,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 707,Dryopteris species_707,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 708,Mentha species_708,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 709,Thymus species_709,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 710,Salvia species_710,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 711,Echinocactus species_711,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 712,Aloe species_712,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 713,Ficus species_713,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 714,Bambusa species_714,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 715,Tulipa species_715,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 716,Helianthus species_716,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 717,Taraxacum species_717,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 718,Betula species_718,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 719,Fagus species_719,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 720,Phoenix species_720,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 721,Rosa species_721,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 722,Lavandula species_722,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 723,Quercus species_723,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 724,Acer species_724,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 725,Pinus species_725,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 726,Orchis species_726,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 727,Dryopteris species_727,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 728,Mentha species_728,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 729,Thymus species_729,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 730,Salvia species_730,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 731,Echinocactus species_731,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 732,Aloe species_732,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 733,Ficus species_733,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 734,Bambusa species_734,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 735,Tulipa species_735,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 736,Helianthus species_736,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 737,Taraxacum species_737,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 738,Betula species_738,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 739,Fagus species_739,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 740,Phoenix species_740,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 741,Rosa species_741,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 742,Lavandula species_742,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 743,Quercus species_743,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 744,Acer species_744,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 745,Pinus species_745,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 746,Orchis species_746,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 747,Dryopteris species_747,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 748,Mentha species_748,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 749,Thymus species_749,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 750,Salvia species_750,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 751,Echinocactus species_751,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 752,Aloe species_752,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 753,Ficus species_753,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 754,Bambusa species_754,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 755,Tulipa species_755,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 756,Helianthus species_756,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 757,Taraxacum species_757,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 758,Betula species_758,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 759,Fagus species_759,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 760,Phoenix species_760,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 761,Rosa species_761,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 762,Lavandula species_762,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 763,Quercus species_763,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 764,Acer species_764,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 765,Pinus species_765,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 766,Orchis species_766,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 767,Dryopteris species_767,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 768,Mentha species_768,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 769,Thymus species_769,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 770,Salvia species_770,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 771,Echinocactus species_771,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 772,Aloe species_772,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 773,Ficus species_773,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 774,Bambusa species_774,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Tulipe 775,Tulipa species_775,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Tournesol 776,Helianthus species_776,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Pissenlit 777,Taraxacum species_777,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Bouleau 778,Betula species_778,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Hêtre 779,Fagus species_779,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Palmier 780,Phoenix species_780,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Rose 781,Rosa species_781,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Lavande 782,Lavandula species_782,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Chêne 783,Quercus species_783,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Érable 784,Acer species_784,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
Pin 785,Pinus species_785,Poaceae,Monde entier,Graminée adaptée à différents climats,Arrosage variable,
Orchidée 786,Orchis species_786,Cactaceae,Amérique,Plante succulente résistante à la sécheresse,Très peu d'eau,
Fougère 787,Dryopteris species_787,Orchidaceae,Tropical,Plante tropicale à fleurs remarquables,Humidité élevée,
Menthe 788,Mentha species_788,Araceae,Tropical,Plante décorative à feuillage remarquable,Lumière indirecte,
Thym 789,Thymus species_789,Pinaceae,Hémisphère nord,Arbre résineux persistant,Peu d'entretien,
Sauge 790,Salvia species_790,Fagaceae,Europe,Arbre forestier durable,Sol profond,
Cactus 791,Echinocactus species_791,Rosaceae,Europe,Plante fleurie ou fruitière de la famille des rosacées,Arrosage modéré,
Aloe 792,Aloe species_792,Asteraceae,Europe,Plante herbacée très répandue,Arrosage régulier,
Ficus 793,Ficus species_793,Lamiaceae,Méditerranée,Plante aromatique adaptée aux sols drainés,Peu d'eau,
Bambou 794,Bambusa species_794,Fabaceae,Monde entier,Plante souvent fixatrice d'azote,Entretien faible,
